2025-05-08 21:53:33,806 - INFO - Starting processing of 87 files
2025-05-08 21:55:26,032 - INFO - Starting processing of 47 files
2025-05-08 22:06:33,093 - INFO - Processed 49/49 files successfully
2025-05-08 22:10:27,545 - INFO - Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,136 - ERROR - Error processing pdf_eng\AAOIFI-Conceptual-Framework-for-Financial-Reporting-Revised-2020-Final-clean.pdf: 
2025-05-08 22:29:16,420 - ERROR - Error processing pdf_eng\AAOIFI-SB-Conf.-17-Booklet-A-Rev-5-LR.pdf: 
2025-05-08 22:52:34,987 - ERROR - Error processing pdf_eng\AAOIFI-SB-Conf.-17-Final-Recommendations.pdf: 
